Tipo Documento,Canal de Registro,Edad,Género,Nivel de Estudio,Título Homologado,Ciudad de Residencia,Fecha Registro,Programa de Gobierno,Condiciones Especiales,Situación Laboral,Fecha Actualización,Zona,Mes,Año,Punto Atención,Rango Edad
Cédula de Ciudadanía,Agencia,39,F,Media(10-13),BACHILLER ACADÉMICO,BARRANQUILLA,03/01/2020 02:22:50 p.m.,NA,NA,Desempleado,03/01/2020 02:22:50 p.m.,Urbano,1,"2,020",Barrios Modelo,29 - 39
Cédula de Ciudadanía,Agencia,40,F,Universitaria,ENFERMERA,BARRANQUILLA,07/01/2020 08:29:56 a.m.,NA,NA,Desempleado,07/01/2020 08:29:56 a.m.,Urbano,1,"2,020",Barrios Modelo,40 - 50
Cédula de Ciudadanía,Agencia,24,M,Técnica Profesional,OPERACIÓN DE PROCESOS INDUSTRIALES,BARRANQUILLA,07/01/2020 10:23:32 a.m.,NA,NA,Primer Empleo,07/01/2020 10:23:32 a.m.,Urbano,1,"2,020",Barrios Modelo,18 - 28
Cédula de Ciudadanía,Agencia,22,M,Media(10-13),BACHILLER ACADEMICO,BARRANQUILLA,07/01/2020 11:04:52 a.m.,NA,NA,Desempleado,07/01/2020 11:04:52 a.m.,Urbano,1,"2,020",Barrios Modelo,18 - 28
Cédula de Ciudadanía,Agencia,23,F,Universitaria,INGENIERA AMBIENTAL,BARRANQUILLA,09/01/2020 09:48:22 a.m.,NA,NA,Desempleado,09/01/2020 09:48:22 a.m.,Urbano,1,"2,020",Barrios Modelo,18 - 28
Cédula de Ciudadanía,Agencia,56,M,Media(10-13),BACHILLER ACADEMICO,BARRANQUILLA,09/01/2020 10:52:05 a.m.,NA,NA,Desempleado,09/01/2020 10:52:05 a.m.,Urbano,1,"2,020",Barrios Modelo,51 - 60
Cédula de Ciudadanía,Agencia,27,M,Universitaria,CONTADOR PUBLICO,BARRANQUILLA,09/01/2020 11:22:36 a.m.,NA,NA,Desempleado,09/01/2020 11:22:36 a.m.,Urbano,1,"2,020",Barrios Modelo,18 - 28
Cédula de Ciudadanía,Agencia,38,F,Técnica Laboral,en gestion de participacion en salud,BARRANQUILLA,13/01/2020 10:24:04 a.m.,NA,NA,Desempleado,13/01/2020 10:24:04 a.m.,Urbano,1,"2,020",Barrios Modelo,29 - 39
Cédula de Ciudadanía,Agencia,33,M,Universitaria,MEDICO CIRUJANO,BARRANQUILLA,08/01/2020 04:33:19 p.m.,NA,NA,Empleado,08/01/2020 04:33:19 p.m.,Urbano,1,"2,020",Barrios Modelo,29 - 39
Cédula de Ciudadanía,Autoregistro,31,F,ND,ND,BARRANQUILLA,06/01/2020 11:37:59 a.m.,NA,NA,NO REGISTRA,06/01/2020 11:37:59 a.m.,ND,1,"2,020",Barrios Modelo,29 - 39
